reg_code,National,ISO3,ISO3-numeric,ISO2,FIPS,COACCH,IMAGE26,NGFS downscaled,Continent,Sub-region
XXX,XXX,XXX,999,XX,XX,,,,,
ABW,NLD,ABW,533,AW,AA,Laca,RCAM,,Americas,Latin America and the Caribbean
AFG,AFG,AFG,4,AF,AF,RSAS,RSAS,,Asia,Southern Asia
AGO,AGO,AGO,24,AO,AO,SSA,RSAF,AGO,Africa,Sub-Saharan Africa
AIA,GBR,AIA,660,AI,AV,Laca,WEU,,Americas,Latin America and the Caribbean
ALA,FIN,ALA,248,AX,FI,WEU,WEU,,Europe,Northern Europe
ALB,ALB,ALB,8,AL,AL,WEU,CEU,ALB,Europe,Southern Europe
AND,AND,AND,20,AD,AN,WEU,WEU,,Europe,Southern Europe
ARE,ARE,ARE,784,AE,TC,MiddleEast,ME,ARE,Asia,Western Asia
ARG,ARG,ARG,32,AR,AR,Laca,RSAM,ARG,Americas,Latin America and the Caribbean
ARM,ARM,ARM,51,AM,AM,FSU,RUS,ARM,Asia,Western Asia
ASM,USA,ASM,16,AS,AQ,USA,USA,,Oceania,Polynesia
ATA,XXX,ATA,10,AQ,AY,,,,Antarctica,Antarctica
ATF,FRA,ATF,260,TF,FS,SSA,WEU,,Africa,Sub-Saharan Africa
ATG,ATG,ATG,28,AG,AC,Laca,RCAM,,Americas,Latin America and the Caribbean
AU-01,AUS,AUS,36,AU,AS,OCE,OCE,AUS,Oceania,Australia and New Zealand
AU-02,AUS,AUS,36,AU,AS,OCE,OCE,AUS,Oceania,Australia and New Zealand
AU-03,AUS,AUS,36,AU,AS,OCE,OCE,AUS,Oceania,Australia and New Zealand
AUS,AUS,AUS,36,AU,AS,OCE,OCE,AUS,Oceania,Australia and New Zealand
AUT,AUT,AUT,40,AT,AU,WEU,WEU,AUT,Europe,Western Europe
AU-WA,AUS,AUS,36,AU,AS,OCE,OCE,AUS,Oceania,Australia and New Zealand
AZE,AZE,AZE,31,AZ,AJ,FSU,RUS,AZE,Asia,Western Asia
BDI,BDI,BDI,108,BI,BY,SSA,EAF,,Africa,Sub-Saharan Africa
BEL,BEL,BEL,56,BE,S8,WEU,WEU,BEL,Europe,Western Europe
BEN,BEN,BEN,204,BJ,DM,SSA,WAF,BEN,Africa,Sub-Saharan Africa
BES,NLD,BES,535,BQ,NL,Laca,WEU,,Americas,Latin America and the Caribbean
BFA,BFA,BFA,854,BF,UV,SSA,WAF,,Africa,Sub-Saharan Africa
BGD,BGD,BGD,50,BD,BG,RSAS,RSAS,BGD,Asia,Southern Asia
BGR,BGR,BGR,100,BG,BU,CEU,CEU,BGR,Europe,Eastern Europe
BHR,BHR,BHR,48,BH,BA,MiddleEast,ME,BHR,Asia,Western Asia
BHS,BHS,BHS,44,BS,BF,Laca,RCAM,,Americas,Latin America and the Caribbean
BIH,BIH,BIH,70,BA,BK,WEU,CEU,BIH,Europe,Southern Europe
BLM,FRA,BLM,652,BL,TB,Laca,WEU,,Americas,Latin America and the Caribbean
BLR,BLR,BLR,112,BY,BO,FSU,UKR,BLR,Europe,Eastern Europe
BLZ,BLZ,BLZ,84,BZ,BH,Laca,RCAM,,Americas,Latin America and the Caribbean
BMU,GBR,BMU,60,BM,BD,WEU,WEU,,Americas,Northern America
BOL,BOL,BOL,68,BO,BL,Laca,RSAM,BOL,Americas,Latin America and the Caribbean
BR-01,BRA,BRA,76,BR,BR,Laca,BRA,BRA,Americas,Latin America and the Caribbean
BR-02,BRA,BRA,76,BR,BR,Laca,BRA,BRA,Americas,Latin America and the Caribbean
BR-03,BRA,BRA,76,BR,BR,Laca,BRA,BRA,Americas,Latin America and the Caribbean
BR-04,BRA,BRA,76,BR,BR,Laca,BRA,BRA,Americas,Latin America and the Caribbean
BR-05,BRA,BRA,76,BR,BR,Laca,BRA,BRA,Americas,Latin America and the Caribbean
BRA,BRA,BRA,76,BR,BR,Laca,BRA,BRA,Americas,Latin America and the Caribbean
BRB,BRB,BRB,52,BB,BB,Laca,RCAM,,Americas,Latin America and the Caribbean
BRN,BRN,BRN,96,BN,BX,SEAS,SEAS,BRN,Asia,South-eastern Asia
BTN,BTN,BTN,64,BT,BT,RSAS,RSAS,,Asia,Southern Asia
BVT,NOR,BVT,74,BV,BV,Laca,WEU,,Americas,Latin America and the Caribbean
BWA,BWA,BWA,72,BW,BC,SSA,RSAF,BWA,Africa,Sub-Saharan Africa
CA-01,CAN,CAN,124,CA,CA,CAN,CAN,CAN,Americas,Northern America
CA-02,CAN,CAN,124,CA,CA,CAN,CAN,CAN,Americas,Northern America
CA-03,CAN,CAN,124,CA,CA,CAN,CAN,CAN,Americas,Northern America
